creationDate,startDate,endDate,value
2023-09-30 06:15:54 +0100,2023-09-30 06:11:06 +0100,2023-09-30 06:11:06 +0100,55
2023-09-30 06:23:52 +0100,2023-09-30 06:14:37 +0100,2023-09-30 06:14:37 +0100,54
2023-09-30 06:23:52 +0100,2023-09-30 06:23:52 +0100,2023-09-30 06:23:52 +0100,52
2023-09-30 06:28:25 +0100,2023-09-30 06:21:32 +0100,2023-09-30 06:21:32 +0100,58
2023-09-30 06:30:07 +0100,2023-09-30 06:26:42 +0100,2023-09-30 06:26:42 +0100,58
2023-09-30 06:36:25 +0100,2023-09-30 06:32:41 +0100,2023-09-30 06:32:41 +0100,60
2023-09-30 06:41:19 +0100,2023-09-30 06:34:47 +0100,2023-09-30 06:34:47 +0100,55
2023-09-30 06:46:01 +0100,2023-09-30 06:43:48 +0100,2023-09-30 06:43:48 +0100,53
2023-09-30 06:53:52 +0100,2023-09-30 06:45:04 +0100,2023-09-30 06:45:04 +0100,57
2023-09-30 06:53:53 +0100,2023-09-30 06:53:52 +0100,2023-09-30 06:53:52 +0100,60
2023-09-30 06:58:15 +0100,2023-09-30 06:54:19 +0100,2023-09-30 06:54:19 +0100,53
2023-09-30 07:00:31 +0100,2023-09-30 06:58:39 +0100,2023-09-30 06:58:39 +0100,64
2023-09-30 07:00:31 +0100,2023-09-30 06:59:29 +0100,2023-09-30 06:59:29 +0100,62.5661
2023-09-30 07:06:06 +0100,2023-09-30 07:01:45 +0100,2023-09-30 07:01:45 +0100,59
2023-09-30 07:09:48 +0100,2023-09-30 07:06:48 +0100,2023-09-30 07:06:48 +0100,55
2023-09-30 07:15:02 +0100,2023-09-30 07:11:16 +0100,2023-09-30 07:11:16 +0100,56
2023-09-30 07:19:51 +0100,2023-09-30 07:15:37 +0100,2023-09-30 07:15:37 +0100,58
2023-09-30 07:24:45 +0100,2023-09-30 07:23:20 +0100,2023-09-30 07:23:20 +0100,59
2023-09-30 07:30:12 +0100,2023-09-30 07:25:00 +0100,2023-09-30 07:25:00 +0100,63
2023-09-30 07:35:08 +0100,2023-09-30 07:31:39 +0100,2023-09-30 07:31:39 +0100,63
2023-09-30 07:39:38 +0100,2023-09-30 07:35:34 +0100,2023-09-30 07:35:34 +0100,63
2023-09-30 07:45:33 +0100,2023-09-30 07:43:37 +0100,2023-09-30 07:43:37 +0100,63
2023-09-30 07:54:54 +0100,2023-09-30 07:54:53 +0100,2023-09-30 07:54:53 +0100,88
2023-09-30 08:00:35 +0100,2023-09-30 07:45:36 +0100,2023-09-30 07:45:36 +0100,57
2023-09-30 08:03:51 +0100,2023-09-30 08:03:30 +0100,2023-09-30 08:03:30 +0100,91
2023-09-30 08:09:30 +0100,2023-09-30 08:06:31 +0100,2023-09-30 08:06:31 +0100,90
2023-09-30 08:09:41 +0100,2023-09-30 08:09:39 +0100,2023-09-30 08:09:39 +0100,94
2023-09-30 08:16:48 +0100,2023-09-30 07:59:58 +0100,2023-09-30 07:59:58 +0100,86
2023-09-30 08:24:06 +0100,2023-09-30 08:15:23 +0100,2023-09-30 08:15:23 +0100,77
2023-09-30 08:27:08 +0100,2023-09-30 08:22:46 +0100,2023-09-30 08:22:46 +0100,79
2023-09-30 08:35:53 +0100,2023-09-30 08:27:05 +0100,2023-09-30 08:27:05 +0100,88
2023-09-30 08:37:09 +0100,2023-09-30 08:31:50 +0100,2023-09-30 08:31:50 +0100,85
2023-09-30 08:42:12 +0100,2023-09-30 08:37:03 +0100,2023-09-30 08:37:03 +0100,73
2023-09-30 08:46:46 +0100,2023-09-30 08:41:50 +0100,2023-09-30 08:41:50 +0100,81
2023-09-30 08:58:29 +0100,2023-09-30 08:46:27 +0100,2023-09-30 08:46:27 +0100,89
2023-09-30 08:59:49 +0100,2023-09-30 08:58:58 +0100,2023-09-30 08:58:58 +0100,67
2023-09-30 09:03:27 +0100,2023-09-30 09:02:09 +0100,2023-09-30 09:02:09 +0100,66.0614
2023-09-30 09:04:42 +0100,2023-09-30 09:02:27 +0100,2023-09-30 09:02:27 +0100,67
2023-09-30 09:10:54 +0100,2023-09-30 09:05:57 +0100,2023-09-30 09:05:57 +0100,68
2023-09-30 09:20:47 +0100,2023-09-30 09:09:56 +0100,2023-09-30 09:09:56 +0100,65
2023-09-30 09:20:47 +0100,2023-09-30 09:19:26 +0100,2023-09-30 09:19:26 +0100,72
2023-09-30 09:29:30 +0100,2023-09-30 09:22:51 +0100,2023-09-30 09:22:51 +0100,70
2023-09-30 09:31:43 +0100,2023-09-30 09:28:57 +0100,2023-09-30 09:28:57 +0100,65
2023-09-30 09:36:13 +0100,2023-09-30 09:32:59 +0100,2023-09-30 09:32:59 +0100,63
2023-09-30 09:40:01 +0100,2023-09-30 09:36:08 +0100,2023-09-30 09:36:08 +0100,75
2023-09-30 09:45:57 +0100,2023-09-30 09:43:16 +0100,2023-09-30 09:43:16 +0100,65
2023-09-30 09:50:26 +0100,2023-09-30 09:49:18 +0100,2023-09-30 09:49:18 +0100,64
2023-09-30 09:56:18 +0100,2023-09-30 09:50:32 +0100,2023-09-30 09:50:32 +0100,68
2023-09-30 10:00:29 +0100,2023-09-30 09:57:20 +0100,2023-09-30 09:57:20 +0100,63
2023-09-30 10:05:50 +0100,2023-09-30 10:01:27 +0100,2023-09-30 10:01:27 +0100,62
2023-09-30 10:10:01 +0100,2023-09-30 10:06:37 +0100,2023-09-30 10:06:37 +0100,64
2023-09-30 10:16:36 +0100,2023-09-30 10:13:13 +0100,2023-09-30 10:13:13 +0100,67
2023-09-30 10:20:00 +0100,2023-09-30 10:14:37 +0100,2023-09-30 10:14:37 +0100,64
2023-09-30 10:24:58 +0100,2023-09-30 10:23:16 +0100,2023-09-30 10:23:16 +0100,66
2023-09-30 10:30:34 +0100,2023-09-30 10:24:36 +0100,2023-09-30 10:24:36 +0100,68
2023-09-30 10:35:48 +0100,2023-09-30 10:31:49 +0100,2023-09-30 10:31:49 +0100,65
2023-09-30 10:39:37 +0100,2023-09-30 10:38:03 +0100,2023-09-30 10:38:03 +0100,72
